Names,Years,Imdb Ratings,Metascore,votes
Le seigneur des anneaux: Les deux tours,(2002),8.7,87        ,1304149
Arrête-moi si tu peux,(2002),8.1,75        ,687386
La Cité de Dieu,(2002),8.6,79        ,625851
Spider-Man,(2002),7.3,73        ,622701
Le pianiste,(2002),8.5,85        ,616646
Star Wars: Épisode II - L'attaque des clones,(2002),6.6,,616646
Harry Potter et la chambre des secrets,(2002),7.4,63        ,473746
La mémoire dans la peau,(2002),7.9,68        ,465412
Minority Report,(2002),7.7,80        ,458420
L'âge de glace,(2002),7.5,,458420
Gangs of New York,(2002),7.5,72        ,362575
28 jours plus tard,(2002),7.6,73        ,338591
Signes,(2002),6.7,,338591
Men in Black II,(2002),6.1,,338591
Le cercle: The ring,(2002),7.1,,338591
Equilibrium,(2002),7.5,,338591
Le transporteur,(2002),6.8,,338591
Insomnia,(2002),7.2,78        ,248614
Sur écoute,(2002–2008),9.3,,248614
Phone Game,(2002),7.1,,248614
Panic Room,(2002),6.8,65        ,231913
Dragon rouge,(2002),7.2,,231913
Resident Evil,(2002),6.7,,231913
Les sentiers de la perdition,(2002),7.7,72        ,224293
8 Mile,(2002),7.1,77        ,222106
Firefly,(2002–2003),9.0,,222106
Chicago,(2002),7.2,82        ,196711
Meurs un autre jour,(2002),6.1,,196711
Le temps d'un automne,(2002),7.4,,196711
Blade II,(2002),6.7,,196711
Goldmember,(2002),6.2,62        ,180113
Hero,(2002),7.9,85        ,163323
xXx,(2002),5.9,,163323
Adaptation.,(2002),7.7,83        ,162234
La 25ème heure,(2002),7.7,67        ,160894
Pour un garçon,(2002),7.1,75        ,157382
Lilo & Stitch,(2002),7.2,73        ,144369
Bowling for Columbine,(2002),8.0,72        ,133090
Punch-drunk love - Ivre d'amour,(2002),7.3,78        ,128495
Les aventures de Mister Deeds,(2002),5.8,,128495
Le roi scorpion,(2002),5.5,,128495
Nous étions soldats,(2002),7.2,65        ,118184
Le règne du feu,(2002),6.2,,118184
La vengeance de Monte Cristo,(2002),7.8,61        ,117539
Monsieur Schmidt,(2002),7.2,85        ,115841
The Hours,(2002),7.6,80        ,114350
John Q,(2002),7.1,,114350
Mariage à la grecque,(2002),6.6,62        ,111915
La machine à explorer le temps,(2002),5.9,,111915
Infernal Affairs,(2002),8.1,75        ,109608
